timeElapsed,angle,buzzerOn
177465.0,1.36,0
177752.0,-0.67,0
178040.0,0.0,0
178326.0,0.72,0
178612.0,3.18,0
178899.0,-0.63,0
179187.0,1.33,0
179474.0,-0.67,0
179761.0,0.67,0
180048.0,0.64,0
180335.0,0.66,0
180620.0,0.69,0
180907.0,0.0,0
181194.0,3.33,0
181481.0,5.64,0
181767.0,0.0,0
182054.0,0.0,0
182341.0,-0.68,0
182627.0,2.15,0
182914.0,-0.67,0
183202.0,0.0,0
183488.0,0.0,0
183774.0,1.35,0
184061.0,0.0,0
184348.0,1.33,0
184634.0,-0.68,0
184922.0,-0.67,0
185209.0,-1.3,0
185497.0,-1.4,0
185784.0,-0.71,0
186072.0,0.67,0
186359.0,4.04,0
186646.0,0.0,0
186932.0,-1.35,0
187219.0,0.0,0
187506.0,-0.67,0
187794.0,0.0,0
188080.0,-0.69,0
188367.0,2.02,0
188654.0,-6.79,0
188941.0,-14.74,0
189230.0,-27.22,0
189519.0,-44.51,0
189808.0,-53.27,0
190095.0,-57.09,0
190384.0,-48.42,0
190673.0,-46.44,0
190962.0,-49.93,0
191250.0,-55.76,0
191538.0,-61.01,0
191827.0,-62.55,0
192116.0,-57.09,0
192404.0,-20.39,0
192692.0,-9.89,0
192980.0,0.68,0
193267.0,-1.38,0
193555.0,1.41,0
193841.0,0.0,0
194127.0,0.0,0
194414.0,-9.12,0
194701.0,-3.54,0
194989.0,38.78,0
195277.0,46.97,0
195565.0,63.77,0
195852.0,69.78,0
196140.0,71.13,1
196428.0,61.61,0
196715.0,65.03,0
197002.0,60.26,0
197290.0,51.13,0
197578.0,67.78,0
197866.0,70.48,1
198153.0,69.36,1
198440.0,68.86,1
198727.0,67.54,1
199013.0,66.61,1
199300.0,67.95,1
199587.0,73.44,1
199875.0,49.76,0
200162.0,49.47,0
200450.0,38.44,0
200737.0,27.5,0
201025.0,14.4,0
201312.0,7.7,0
201599.0,-3.69,0
201887.0,-6.67,0
202175.0,-8.24,0
202462.0,-8.0,0
202750.0,18.22,0
203038.0,39.51,0
203325.0,59.69,0
203612.0,67.54,0
203900.0,66.53,0
204188.0,67.33,0
204476.0,76.48,1
204763.0,78.69,1
205051.0,67.95,1
205338.0,68.44,1
205624.0,68.96,1
205911.0,68.2,1
206198.0,68.82,1
206485.0,64.36,1
206771.0,56.31,0
207059.0,26.27,0
207347.0,18.87,0
207635.0,14.71,0
207922.0,11.44,0
208210.0,6.5,0
208496.0,2.63,0
208782.0,-5.47,0
209070.0,-5.31,0
209358.0,-11.69,0
209647.0,-6.79,0
209934.0,1.33,0
210221.0,-0.66,0
210508.0,0.0,0
210795.0,-2.02,0
211082.0,-1.33,0
211370.0,0.0,0
211656.0,0.0,0
211943.0,-0.67,0
212230.0,0.67,0
212517.0,-2.07,0
212805.0,-0.67,0
213091.0,0.0,0
213378.0,0.0,0
213665.0,-2.02,0
213953.0,0.0,0
214239.0,0.67,0
214526.0,10.37,0
214814.0,-1.33,0
215101.0,0.67,0
215387.0,0.67,0
215674.0,-2.0,0
215962.0,0.67,0
216248.0,-2.12,0
216536.0,-8.26,0
216824.0,-1.93,0
217111.0,9.93,0
217397.0,21.29,0
217685.0,34.7,0
217973.0,39.34,0
218261.0,39.99,0
218548.0,44.51,0
218836.0,50.11,0
219124.0,59.9,0
219412.0,64.11,0
219699.0,19.07,0
219987.0,10.42,0
220274.0,10.75,0
220562.0,54.32,0
220849.0,55.35,0
221137.0,55.3,0
221425.0,-9.17,0
221712.0,-0.6,0
222000.0,131.99,1
222289.0,64.84,0
222577.0,56.31,0
222863.0,-2.01,0
223151.0,0.87,0
223438.0,118.01,1
223727.0,51.56,0
224014.0,51.68,0
224302.0,0.96,0
224589.0,13.36,0
224877.0,64.23,0
225164.0,45.0,0
225452.0,17.2,0
225739.0,26.57,0
226027.0,20.22,0
226314.0,21.54,0
226602.0,21.43,0
226890.0,20.64,0
227178.0,17.1,0
227465.0,11.85,0
227753.0,9.12,0
228039.0,8.75,0
228325.0,5.97,0
228612.0,6.95,0
228899.0,5.44,0
229186.0,4.6,0
229472.0,3.33,0
229759.0,-0.71,0
230047.0,-2.0,0
230335.0,-170.29,1
230624.0,-3.01,1
230910.0,-2.73,1
231197.0,-3.33,1
231484.0,-1.35,1
231770.0,-4.6,1
232057.0,0.0,1
232343.0,-1.33,1
232629.0,-4.09,1
232916.0,-2.66,1
233203.0,-2.69,1
233490.0,-0.67,1
233776.0,-1.71,1
234063.0,0.0,1
234349.0,-0.66,1
234635.0,-0.68,1
234922.0,-0.66,1
235209.0,-2.1,1
235496.0,-1.32,1
235782.0,2.7,1
236068.0,-1.71,1
236355.0,1.12,1
236641.0,-6.09,0
236928.0,-6.56,0
237216.0,7.04,0
237503.0,-0.86,0
237790.0,-5.19,0
238078.0,-1.32,0
238366.0,-2.02,0
238654.0,-0.86,0
238940.0,-1.35,0
239228.0,-2.05,0
239516.0,-2.0,0
239804.0,-2.69,0
240091.0,-0.68,0
240378.0,-1.36,0
240666.0,-0.72,0
240953.0,-1.33,0
241241.0,0.0,0
241527.0,0.0,0
241814.0,-2.73,0
242101.0,-1.35,0
242389.0,0.0,0
242676.0,-2.05,0
242963.0,-2.0,0
243250.0,0.0,0
243537.0,-1.3,0
243825.0,0.0,0
244110.0,-3.33,0
244398.0,-1.4,0
244686.0,0.0,0
244973.0,-1.32,0
245260.0,-0.69,0
245547.0,-1.4,0
245835.0,0.0,0
246122.0,0.0,0
246408.0,-0.67,0
246696.0,-1.33,0
246983.0,-0.67,0
247271.0,-0.67,0
247558.0,-0.67,0
247846.0,-1.3,0
248134.0,-0.67,0
248420.0,-2.0,0
248708.0,0.67,0
248995.0,-1.35,0
249283.0,-0.68,0
249570.0,-0.67,0
249858.0,-1.36,0
250145.0,-0.68,0
250433.0,0.0,0
250719.0,-0.67,0
251007.0,-1.38,0
251295.0,-1.36,0
251582.0,0.0,0
251868.0,0.0,0
252155.0,0.0,0
252441.0,-1.33,0
252728.0,-1.35,0
253016.0,-2.07,0
253304.0,-0.67,0
253591.0,0.0,0
253877.0,0.0,0
254164.0,-0.67,0
254452.0,-0.67,0
254740.0,2.05,0
255026.0,-1.36,0
255313.0,-3.33,0
255601.0,0.0,0
255887.0,-1.33,0
256175.0,-2.02,0
256463.0,-0.67,0
256750.0,-0.67,0
257037.0,-1.35,0
257325.0,-0.66,0
257613.0,-0.66,0
257901.0,-1.36,0
258187.0,-1.33,0
258475.0,-1.97,0
258763.0,-0.67,0
259051.0,0.0,0
259337.0,0.69,0
259623.0,-0.66,0
259911.0,-0.67,0
260199.0,-0.67,0
260486.0,-0.7,0
260774.0,0.0,0
261060.0,0.0,0
261346.0,-2.0,0
261634.0,-1.35,0
261922.0,-0.67,0
262210.0,-1.33,0
262496.0,-1.35,0
262784.0,0.0,0
263071.0,-0.67,0
263359.0,0.0,0
263644.0,-1.33,0
263932.0,-1.33,0
264220.0,-1.97,0
264508.0,0.0,0
264794.0,-2.76,0
265082.0,-1.35,0
265369.0,-3.49,0
265656.0,-2.05,0
265944.0,-1.35,0
266232.0,-1.35,0
266520.0,-0.66,0
266806.0,-0.68,0
267094.0,-0.67,0
267382.0,0.0,0
267669.0,0.0,0
267955.0,-1.33,0
268242.0,0.67,0
268529.0,-1.36,0
268816.0,-1.33,0
269104.0,0.0,0
269391.0,-0.67,0
269678.0,0.0,0
269964.0,-0.7,0
270252.0,-0.67,0
270540.0,0.0,0
270826.0,-1.35,0
271113.0,0.0,0
271400.0,-1.4,0
271688.0,-0.67,0
271976.0,-1.33,0
272262.0,0.0,0
272549.0,-0.67,0
272837.0,-1.36,0
273124.0,-1.38,0
273411.0,0.0,0
273698.0,-1.32,0
273986.0,0.0,0
274272.0,-1.36,0
274560.0,-0.67,0
274847.0,-1.33,0
275135.0,-0.67,0
275422.0,-0.67,0
275710.0,-2.07,0
275998.0,-0.67,0
276285.0,-0.67,0
276572.0,-1.36,0
276860.0,0.0,0
277147.0,0.0,0
277432.0,-2.66,0
277720.0,-0.69,0
278008.0,-2.05,0
278296.0,-1.33,0
278583.0,-0.67,0
278870.0,-1.36,0
279158.0,-1.33,0
279446.0,0.0,0
279732.0,0.0,0
280018.0,0.67,0
280305.0,-2.05,0
280592.0,-0.66,0
280880.0,0.0,0
281167.0,0.66,0
281453.0,0.0,0
281739.0,-1.33,0
282027.0,-1.32,0
282315.0,0.67,0
282602.0,-0.65,0
282889.0,-0.67,0
283177.0,-1.97,0
283464.0,0.0,0
283751.0,0.0,0
284037.0,-0.67,0
284325.0,-0.67,0
284612.0,-1.33,0
284899.0,-2.69,0
285187.0,-1.33,0
285475.0,-2.1,0
285763.0,-2.0,0
286050.0,0.67,0
286336.0,-1.32,0
286624.0,-1.33,0
286912.0,-2.76,0
287199.0,-0.67,0
287487.0,-0.67,0
287774.0,0.67,0
288061.0,0.67,0
288347.0,-0.67,0
288635.0,-2.05,0
288923.0,-0.67,0
289209.0,0.0,0
289496.0,0.0,0
289783.0,-1.36,0
290071.0,-0.67,0
290358.0,0.0,0
290645.0,-0.68,0
290932.0,-0.67,0
291220.0,-2.02,0
291507.0,-0.69,0
291795.0,-0.67,0
292083.0,-1.36,0
292370.0,-4.76,0
292657.0,-0.66,0
292945.0,0.0,0
293232.0,0.0,0
293517.0,0.67,0
293804.0,0.0,0
294091.0,0.0,0
294378.0,-0.65,0
294665.0,-0.67,0
294952.0,-1.36,0
295240.0,0.0,0
295527.0,0.0,0
295813.0,-2.66,0
296101.0,-1.33,0
296388.0,0.66,0
296674.0,-0.67,0
296962.0,10.24,0
297250.0,-0.68,0
297538.0,1.33,0
297824.0,-0.67,0
298112.0,-0.67,0
298399.0,-2.0,0
298687.0,-0.66,0
298974.0,0.0,0
299261.0,-1.33,0
299549.0,-0.65,0
299836.0,-2.05,0
300123.0,0.0,0
300410.0,0.0,0
300697.0,-1.36,0
300983.0,-0.66,0
301271.0,-2.73,0
301559.0,-1.35,0
301847.0,0.0,0
302132.0,-3.37,0
302420.0,-2.02,0
302708.0,-1.35,0
302996.0,-1.36,0
303283.0,-1.35,0
303570.0,-2.69,0
303858.0,0.67,0
304144.0,0.69,0
304431.0,-1.33,0
304719.0,0.7,0
305006.0,-1.36,0
305293.0,-2.66,0
305580.0,-0.69,0
305868.0,-0.68,0
306156.0,-1.36,0
306443.0,-2.02,0
306731.0,-1.35,0
307018.0,-0.68,0
307306.0,-0.67,0
307593.0,0.0,0
307880.0,-0.67,0
308167.0,-0.68,0
308455.0,0.67,0
308741.0,0.66,0
309028.0,-0.67,0
309316.0,0.0,0
309602.0,-2.02,0
309889.0,0.0,0
310176.0,-0.68,0
310464.0,0.0,0
310750.0,-2.02,0
